gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000024065	-1.79948300744279	5.16141132686198	2.57476644265889e-05	0.000304100057757165	Ehd3	-4.86136496910709	mus	-11.2393562536444	FALSE	FALSE	TRUE
ENSMUSG00000024066	-2.57012801302635	3.18795983040544	1.89066848124131e-06	2.87929676999458e-05	Xdh	-2.53572976462613	mus	-10.1378151848395	FALSE	FALSE	TRUE
ENSMUSG00000024067	-0.00868660916338723	5.25814118685666	0.97489225802516	0.990294264423091	Dpy30	-14.2494753228153	mus	-15.7595286987705	FALSE	FALSE	FALSE
ENSMUSG00000024068	-0.402344738236933	5.33644644591016	0.11857288034285	0.283747010509886	Spast	-12.3732322920025	mus	-14.9004324211366	FALSE	FALSE	FALSE
ENSMUSG00000024069	-0.214130213426256	4.34859532530808	0.457864477001687	0.67285542569247	Slc30a6	-13.57642699572	mus	-15.4272062071891	FALSE	FALSE	FALSE
ENSMUSG00000024070	-1.2092568361522	5.95871914421559	1.20113843670725e-05	0.000154946305858259	Prkd3	-4.1823184131329	mus	-10.9438217449135	FALSE	FALSE	TRUE
ENSMUSG00000024072	0.230208408128837	5.86240676812636	0.405197058457375	0.625740886143088	Yipf4	-13.4676001138894	mus	-15.3743741169222	FALSE	FALSE	FALSE
ENSMUSG00000024073	-0.76121589548583	9.41385640120476	0.00726616977347582	0.0355812208096023	Birc6	-9.88650708268114	mus	-13.7880220170164	FALSE	FALSE	FALSE
ENSMUSG00000024074	-0.0677095580399626	6.32733695927641	0.816646488904027	0.912911300253408	Crim1	-14.091737747855	mus	-15.6774892758098	FALSE	FALSE	FALSE
ENSMUSG00000024077	-0.444848229660723	5.86881508913566	0.0942173588090662	0.242387877037462	Strn	-12.1684704431822	mus	-14.8055095656806	FALSE	FALSE	FALSE
ENSMUSG00000024078	-0.400764766085087	6.13325355103985	0.14124328606419	0.319975059060894	Ttc27	-12.529042137708	mus	-14.9660810644329	FALSE	FALSE	FALSE
ENSMUSG00000024079	0.300873817674862	5.12693663932785	0.266333552536301	0.483939629612635	Eif2ak2	-13.0938973518392	mus	-15.2033406136256	FALSE	FALSE	FALSE
ENSMUSG00000024081	-0.232251317455081	7.17818415013524	0.380574309192877	0.601351542442655	Cebpz	-13.4117687158759	mus	-15.3518451576212	FALSE	FALSE	FALSE
ENSMUSG00000024082	-0.446209806741237	4.75882687551596	0.0896735648453895	0.233790177486498	2410091C18Rik	-12.1244511874895	mus	-14.7876165794269	FALSE	FALSE	FALSE
ENSMUSG00000024083	-7.74718421365343e-05	5.69821107440874	1	1	Pja2	-14.2721209107318	mus	-15.7708698059408	FALSE	FALSE	FALSE
ENSMUSG00000024085	-0.202263805200558	7.41874520994997	0.415643706590463	0.635205462144063	Man2a1	-13.4902693794452	mus	-15.3854385804806	FALSE	FALSE	FALSE
ENSMUSG00000024087	5.3989867838073	3.64289156172129	1.22470993375827e-30	2.01230648380606e-28	Cyp1b1	47.0654556125023	mus	12.5571927833859	TRUE	TRUE	TRUE
ENSMUSG00000024091	0.316118361838615	6.84535380026288	0.201871223227633	0.406823568961346	Vapa	-12.847104240506	mus	-15.0951152477724	FALSE	FALSE	FALSE
ENSMUSG00000024095	-0.414055052995237	7.5886226255799	0.117495888717977	0.282145349325473	Hnrpll	-12.3651063680441	mus	-14.896102881365	FALSE	FALSE	FALSE
ENSMUSG00000024096	0.395315593151714	6.85796190182954	0.109500249618391	0.269719199511967	Ralbp1	-12.3023424030165	mus	-14.8633524896825	FALSE	FALSE	FALSE
ENSMUSG00000024097	-0.326061201933805	7.68512472480403	0.16913670391181	0.361885176715177	Srsf7	-12.6895429572045	mus	-15.0317099881379	FALSE	FALSE	FALSE
