gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000029455	0.202692551599161	4.86355047363365	0.102007811953609	0.609493839720591	Aldh2	-7.60176179805121	mus	-4.18059463980929	FALSE	FALSE	FALSE
ENSMUSG00000029456	0.112545038243943	4.15018835966841	0.409051330385101	0.879034023857259	Acad10	-8.8153824518895	mus	-5.90879461762532	FALSE	FALSE	FALSE
ENSMUSG00000029458	0.0540936892296671	6.90305745351081	0.607889081335899	0.942767778373259	Brap	-9.16156693794189	mus	-6.3714277488478	FALSE	FALSE	FALSE
ENSMUSG00000029461	-0.162002748628995	4.3882457947889	0.229956612549046	0.768883874452038	Fam168a	-8.31207800290995	mus	-5.21467438935819	FALSE	FALSE	FALSE
ENSMUSG00000029462	0.107948402791871	4.6295973151436	0.430068733631489	0.891908490368613	Vps29	-8.85916709119787	mus	-5.95879790328157	FALSE	FALSE	FALSE
ENSMUSG00000029463	0.0306054290574553	2.10937335181653	0.910198248401346	0.992607053183975	1500011H22Rik	-9.51432135366959	mus	-6.81920891820659	FALSE	FALSE	FALSE
ENSMUSG00000029464	-0.034507964391942	6.13283196264767	0.799493928696773	0.976796074130738	Gpn3	-9.40099505997742	mus	-6.67637862034062	FALSE	FALSE	FALSE
ENSMUSG00000029465	-0.126670019403336	7.76852272663641	0.26823169937622	0.798988369664939	Arpc3	-8.44661920967902	mus	-5.40506928371817	FALSE	FALSE	FALSE
ENSMUSG00000029466	-0.0367187440402883	5.68575221388349	0.76107447387017	0.971734708252891	Anapc7	-9.35795903664697	mus	-6.62127206782452	FALSE	FALSE	FALSE
ENSMUSG00000029467	-0.168657738128081	7.5279601138372	0.137455822050328	0.669495353969284	Atp2a2	-7.86239579215034	mus	-4.53895704265627	FALSE	FALSE	FALSE
ENSMUSG00000029468	-0.254173114122398	3.86234362669807	0.0841247934106176	0.570911342773383	P2rx7	-7.43332537291599	mus	-3.98865942601701	FALSE	FALSE	FALSE
ENSMUSG00000029469	-0.122683517046444	1.95829019336919	0.597282886933659	0.937415639784997	Ift81	-9.14618547101271	mus	-6.35740721316672	FALSE	FALSE	FALSE
ENSMUSG00000029470	-0.130384676280563	4.42818672305685	0.352301349340053	0.855414471260422	P2rx4	-8.68486695712354	mus	-5.72459080609212	FALSE	FALSE	FALSE
ENSMUSG00000029471	-0.16314348418819	4.56211703774307	0.184571796248145	0.726579473309713	Camkk2	-8.11995620168849	mus	-4.91265526291544	FALSE	FALSE	FALSE
ENSMUSG00000029472	0.104461150695232	8.21049895345227	0.34059370202622	0.847873153607759	Anapc5	-8.65533314628271	mus	-5.68694404044173	FALSE	FALSE	FALSE
ENSMUSG00000029474	-0.273576339150761	4.19219743466465	0.0445815166739621	0.446689923535696	Rnf34	-6.87843474504203	mus	-3.25070332880154	FALSE	FALSE	FALSE
ENSMUSG00000029475	-0.245023230769578	6.2802630448656	0.0911003310871981	0.58332535558835	Kdm2b	-7.50293781483011	mus	-4.06587699867867	FALSE	FALSE	FALSE
ENSMUSG00000029478	0.00153591742565334	8.78580111800274	0.989688552426	1	Ncor2	-9.58748848436997	mus	-6.90034545971972	FALSE	FALSE	FALSE
ENSMUSG00000029480	0.12375165450323	5.83113769661803	0.35822312646812	0.859279388685623	Dhx37	-8.69943358593092	mus	-5.74264877013682	FALSE	FALSE	FALSE
ENSMUSG00000029482	-0.265083975172231	4.82090468001158	0.078753739842432	0.556589113724856	Aacs	-7.37567141742959	mus	-3.90983353508215	FALSE	FALSE	FALSE
ENSMUSG00000029486	0.114228523675774	3.66275226402897	0.496878674326928	0.915262463192301	Mrpl1	-8.98535440695306	mus	-6.13117917329441	FALSE	FALSE	FALSE
ENSMUSG00000029500	-0.0920821131500633	4.09254852686499	0.512806062513037	0.918236080327875	Pgam5	-9.01292656650003	mus	-6.17327746686161	FALSE	FALSE	FALSE
ENSMUSG00000029501	-0.0830641210644186	6.29645248752641	0.418127209243422	0.885246030218264	Ankle2	-8.83455954791049	mus	-5.92815482617823	FALSE	FALSE	FALSE
ENSMUSG00000029502	-0.0322009292878714	6.74592333573529	0.768167806504895	0.971734708252891	Golga3	-9.36606590510422	mus	-6.63433249307829	FALSE	FALSE	FALSE
ENSMUSG00000029504	0.0694798185308396	5.61491628998243	0.584133263669714	0.933540420698712	Ddx51	-9.12673167649336	mus	-6.33472796309541	FALSE	FALSE	FALSE
