gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000213420	-0.0506989279999885	6.95693494914815	-5.88744346700369	0.825831738656518	0.98224185823811	GPC2	-4.57781593128911	hsa	FALSE	FALSE
ENSG00000156508	-0.0182835675833197	9.80354025888889	-5.89814589698347	0.491669935134425	0.906922597251456	LOC649150	-4.37498119751417	hsa	FALSE	FALSE
ENSG00000100578	-0.134947510666655	6.88132733092593	-5.66719731075721	0.47667539738476	0.902662431683963	KIAA0586	-4.36286709544211	hsa	FALSE	FALSE
ENSG00000072786	-0.295293082999988	7.94543916840741	-4.97674433283415	0.163137859954987	0.711006292711658	STK10	-3.94347932556634	hsa	FALSE	FALSE
ENSG00000121691	0.0749550753333432	7.38192190685185	-5.90707993322753	0.132620405802513	0.671304415843967	CAT	-3.8624740024797	hsa	FALSE	FALSE
ENSG00000140943	0.155996115333347	8.70885910387963	-5.90739903783158	0.0847207290906042	0.586817068384812	MBTPS1	-3.68719562384377	hsa	FALSE	FALSE
ENSG00000152291	-0.0560827096666507	9.79743467822222	-5.82797042976153	0.678280209880779	0.955792279420746	TGOLN2	-4.50082914035976	hsa	FALSE	FALSE
ENSG00000196588	-0.0538725406666565	7.81155595174074	-5.85807056092807	0.740730303528652	0.969035637170921	MKL1	-4.53527855121429	hsa	FALSE	FALSE
ENSG00000039319	-0.0308669539999911	6.74993988266667	-5.90700700563275	0.675136188273564	0.954939084694288	ZFYVE16	-4.49901191593785	hsa	FALSE	FALSE
ENSG00000135723	-0.0397802533333191	8.42858924564815	-5.90161061046908	0.890445259251189	0.989544249485555	FHOD1	-4.60728015646262	hsa	FALSE	FALSE
ENSG00000204410	-0.0022745303333247	6.41783123324074	-5.91057396985293	0.985269134103561	0.998830353153162	MSH5	-4.64686009011926	hsa	FALSE	FALSE
ENSG00000173327	-0.441186511333321	7.97653507524074	-3.72115556986314	0.0325193030689425	0.436828431929781	MAP3K11	-3.31267608412987	hsa	FALSE	FALSE
ENSG00000134294	-0.370690691999988	8.45252119716667	-4.71310031729104	0.114194953346545	0.644538471148841	SLC38A2	-3.8039669243763	hsa	FALSE	FALSE
ENSG00000168765	0.101958547666676	6.17559616188889	-5.62187181953548	0.438284628910282	0.887953974883234	GSTM4	-4.33002480469458	hsa	FALSE	FALSE
ENSG00000178234	-0.0561578939999876	8.08339955711111	-5.8486522962033	0.719401438938246	0.964073904753766	GALNT11	-4.52385081300455	hsa	FALSE	FALSE
ENSG00000176788	0.293480521333349	8.89138227475926	-5.81965768010844	0.663455762470921	0.953755266180656	BASP1	-4.49218577604417	hsa	FALSE	FALSE
