Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 78509.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 9.87 sec. (3800.98 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      103.6369   849       11.2399 UserPurge1: 4    22075  822.04%
      0     0      103.6367   861       11.2399 UserPurge1: 4    22086  822.04%
      0     0      103.6364   864       11.2399 UserPurge1: 4    22100  822.04%
      0     0      103.6359   843       11.2399 UserPurge1: 4    22125  822.03%
      0     0      103.6357   849       11.2399 UserPurge1: 4    22138  822.03%
      0     0      103.6356   858       11.2399 UserPurge1: 4    22162  822.03%
      0     0      103.6355   855       11.2399 UserPurge1: 4    22192  822.03%
      0     0      103.6348   843       11.2399 UserPurge1: 4    22218  822.02%
      0     0      103.6348   849       11.2399 UserPurge1: 4    22228  822.02%
      0     0      103.6347   837       11.2399 UserPurge1: 4    22242  822.02%
      0     0      103.6346   837       11.2399 UserPurge1: 4    22258  822.02%
      0     0      103.6345   843       11.2399 UserPurge1: 4    22267  822.02%
      0     0      103.6345   843       11.2399 UserPurge1: 4    22277  822.02%
      0     0      103.6344   861       11.2399 UserPurge1: 4    22293  822.02%
      0     0      103.6343   861       11.2399 UserPurge1: 4    22312  822.02%
      0     0      103.6342   873       11.2399 UserPurge1: 4    22331  822.02%
      0     0      103.6342   879       11.2399 UserPurge1: 4    22347  822.02%
      0     0      103.6340   843       11.2399 UserPurge1: 4    22363  822.01%
      0     0      103.6339   873       11.2399 UserPurge1: 4    22374  822.01%
      0     0      103.6339   843       11.2399 UserPurge1: 4    22391  822.01%
      0     0      103.6338   879       11.2399 UserPurge1: 4    22409  822.01%
      0     0      103.6338   885       11.2399 UserPurge1: 4    22434  822.01%
      0     0      103.6334   864       11.2399 UserPurge1: 4    22475  822.01%
      0     0      103.6330   843       11.2399 UserPurge1: 4    22505  822.01%
      0     0      103.6329   891       11.2399 UserPurge1: 4    22521  822.01%
      0     0      103.6327   849       11.2399 UserPurge1: 4    22548  822.00%
      0     0      103.6323   825       11.2399 UserPurge1: 4    22590  822.00%
      0     0      103.6323   819       11.2399 UserPurge1: 4    22599  822.00%
      0     0      103.6322   831       11.2399 UserPurge1: 4    22616  822.00%
      0     0      103.6321   852       11.2399 UserPurge1: 4    22636  822.00%
      0     0      103.6320   861       11.2399 UserPurge1: 4    22654  822.00%
      0     0      103.6320   861       11.2399 UserPurge1: 4    22677  822.00%
      0     0      103.6319   867       11.2399 UserPurge1: 4    22699  822.00%
      0     0      103.6318   873       11.2399 UserPurge1: 4    22718  822.00%
      0     0      103.6317   861       11.2399 UserPurge1: 4    22743  821.99%
      0     0      103.6315   867       11.2399 UserPurge1: 4    22764  821.99%
      0     0      103.6313   862       11.2399 UserPurge1: 4    22798  821.99%
      0     0      103.6312   868       11.2399 UserPurge1: 4    22811  821.99%
      0     0      103.6312   888       11.2399 UserPurge1: 4    22823  821.99%
      0     0      103.6311   894       11.2399 UserPurge1: 4    22844  821.99%
      0     0      103.6310   868       11.2399 UserPurge1: 4    22865  821.99%
      0     0      103.6307   868       11.2399 UserPurge1: 4    22899  821.99%
      0     0      103.6306   873       11.2399 UserPurge1: 4    22912  821.98%
      0     0      103.6305   855       11.2399 UserPurge1: 4    22925  821.98%
      0     0      103.6303   867       11.2399 UserPurge1: 4    22942  821.98%
      0     0      103.6296   843       11.2399 UserPurge1: 4    22990  821.98%
      0     0      103.6292   834       11.2399 UserPurge1: 4    23006  821.97%
      0     0      103.6290   837       11.2399 UserPurge1: 4    23019  821.97%
      0     0      103.6289   873       11.2399 UserPurge1: 4    23038  821.97%
      0     0      103.6288   879       11.2399 UserPurge1: 4    23066  821.97%
      0     0      103.6286   873       11.2399 UserPurge1: 4    23085  821.97%
      0     0      103.6282   873       11.2399 UserPurge1: 4    23120  821.96%
      0     0      103.6280   837       11.2399 UserPurge1: 4    23143  821.96%
