gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000399	-0.1497242371654	10.6412846615784	-5.79853929777394	0.123881752118676	0.381753600086286	Ndufa9	-2.89339051104359	mus	-6.32002713918123	FALSE	FALSE	FALSE
ENSMUSG00000000409	0.18275279717274	12.4031959788417	-5.40837161019263	0.0782390617031107	0.289033043216382	Lck	-2.55400309808335	mus	-6.16221001720255	FALSE	FALSE	FALSE
ENSMUSG00000000411	0.353269816651324	3.61245684104289	-5.75273868301538	0.117252783841774	0.369996232525594	Tssk3	-2.85277602873219	mus	-6.29783301876788	FALSE	FALSE	FALSE
ENSMUSG00000000420	0.168998956980622	8.59865931658348	-6.69538354327171	0.40870136112998	0.708780242897862	Galnt1	-3.77491542457547	mus	-6.79270685959518	FALSE	FALSE	FALSE
ENSMUSG00000000439	-0.122823196180797	6.3130577826478	-7.05732141231172	0.202803699003355	0.501055662039352	Mkrn2	-3.25740903293784	mus	-6.51211671404471	FALSE	FALSE	FALSE
ENSMUSG00000000440	-0.200140542539114	3.3083930174922	-6.68256916153616	0.400561828778753	0.701395355537766	Pparg	-3.76005917218888	mus	-6.78581314290683	FALSE	FALSE	FALSE
ENSMUSG00000000441	-0.0258804817654715	9.40129406043901	-6.98481323061873	0.324730118403515	0.634886687731564	Raf1	-3.6050658518405	mus	-6.69881315815344	FALSE	FALSE	FALSE
ENSMUSG00000000486	-0.317461909173141	6.27268149914947	-5.4026046425555	0.0777197471964693	0.287925062038014	Sept1	-2.54908488765658	mus	-6.15874985740021	FALSE	FALSE	FALSE
ENSMUSG00000000489	0.291806333281672	8.38999189749677	-6.87167266147716	0.333092557807011	0.642443053993902	Pdgfb	-3.62384312377771	mus	-6.71184315823585	FALSE	FALSE	FALSE
ENSMUSG00000000530	0.477100906525892	4.25739582079076	-5.93118894353695	0.145555530995002	0.420004815148145	Acvrl1	-3.01246021571759	mus	-6.38002949599003	FALSE	FALSE	FALSE
ENSMUSG00000000531	0.248577291191653	5.48169505885357	-6.63078450241874	0.369933585873929	0.675055656224973	Grasp	-3.70131485089751	mus	-6.75498140995047	FALSE	FALSE	FALSE
ENSMUSG00000000532	0.756578408067623	8.38684968810526	2.80370757866681	1.58492346284362e-05	0.000466109564044682	Acvr1b	3.72656310524988	mus	-3.51170161890122	TRUE	FALSE	FALSE
ENSMUSG00000000538	-0.125471368086432	3.85688847952352	-7.04958115935569	0.278246035194093	0.588279589223939	Tom1l2	-3.49097478126894	mus	-6.63677148609903	FALSE	FALSE	FALSE
ENSMUSG00000000552	-0.375716993658176	3.84429970179927	-5.4517405853624	0.0822661768657143	0.29834631810471	Zfp385a	-2.59106954444839	mus	-6.17847123091442	FALSE	FALSE	FALSE
ENSMUSG00000000555	0.00614865146029459	4.2406882356756	-6.59006886737806	0.316926654108996	0.626307019915084	Itga5	-3.58710234872802	mus	-6.69247955080714	FALSE	FALSE	FALSE
ENSMUSG00000000561	-0.372425382171707	8.62960977721724	-6.32484106362517	0.0134764491798569	0.0918165087211667	Wdr77	-1.25509721554536	mus	-5.59118954767369	FALSE	FALSE	FALSE
ENSMUSG00000000563	0.090647498825522	11.8741021738458	-6.8938541372014	0.0638633924690534	0.254758833716916	Atp5f1	-2.40406927653804	mus	-6.09393182027919	FALSE	FALSE	FALSE
ENSMUSG00000000567	-0.0941465527461934	3.42938765676289	-7.04431320319329	0.520555543117315	0.788247298938298	Sox9	-3.95356917751121	mus	-6.89603038469258	FALSE	FALSE	FALSE
ENSMUSG00000000568	0.409920070959849	11.484517278565	-3.75123356905011	0.0126279509771698	0.08788919940955	Hnrnpd	-1.20707135220588	mus	-5.56352453692584	FALSE	FALSE	FALSE
ENSMUSG00000000579	-0.159843999677953	9.44806633188123	-7.03995451145262	0.0219007504821128	0.126917386010264	Dynlt1a /// Dynlt1b /// Dynlt1c /// Dynlt1e /// Dynlt1f	-1.61369969669932	mus	-5.75646724592809	FALSE	FALSE	FALSE
ENSMUSG00000000581	0.245406113432426	8.03456238835899	-6.85831168472877	0.0396470795727112	0.188947557731004	C1d	-2.05200127946554	mus	-5.94279166225724	FALSE	FALSE	FALSE
ENSMUSG00000000594	0.702594037386718	7.93835922646579	-5.90243803716656	0.000164120346280825	0.00327274361937774	Gm2a	2.00031730427039	mus	-4.19098547501792	TRUE	FALSE	FALSE
ENSMUSG00000000605	-0.1351425957739	8.85776727601818	-6.8628001603019	0.188278993703959	0.481838185227999	Clcn4-2	-3.20252784653085	mus	-6.48326686039344	FALSE	FALSE	FALSE
ENSMUSG00000000627	0.462268191935895	5.36365847675963	-4.82971946599784	0.0406714363303067	0.192276077246462	Sema4f	-2.07083968174033	mus	-5.94994355487358	FALSE	FALSE	FALSE
ENSMUSG00000000628	0.756896334788871	9.61843257418155	-2.0406463876335	0.00211442500804022	0.0239992953074749	Hk2	0.112737544893821	mus	-5.00675005859029	TRUE	FALSE	FALSE
ENSMUSG00000000631	-0.69772482867311	7.1834794897658	-0.837207312889238	0.000617530219704604	0.00962650300917393	Myo18a	1.02170020294881	mus	-4.55784466140658	TRUE	FALSE	FALSE
ENSMUSG00000000682	-0.130362429579189	12.4987106212035	-6.54002666803899	0.323600574420054	0.633917796592247	Cd52	-3.60249254271425	mus	-6.6972906772425	FALSE	FALSE	FALSE
ENSMUSG00000000686	0.618320544561378	4.26587109473597	-4.09504738703109	0.0182417291710845	0.112460313897367	Abhd15	-1.47869377214224	mus	-5.69952925925358	FALSE	FALSE	FALSE
ENSMUSG00000000690	0.304009760295498	3.96207125255782	-4.97144969103093	0.0476308104766999	0.211717137677761	Hoxb6	-2.18748975738653	mus	-6.00576411352049	FALSE	FALSE	FALSE
ENSMUSG00000000693	-0.418164243451443	4.10112305520849	-5.53566165621487	0.0907087206312083	0.317768054023042	Loxl3	-2.66321689914088	mus	-6.20641776847547	FALSE	FALSE	FALSE
ENSMUSG00000000706	-0.0887436178927322	3.27753628193272	-7.05732901751485	0.269556585771919	0.579514165568496	Btn1a1	-3.46754385058824	mus	-6.62450237083981	FALSE	FALSE	FALSE
