ENSMUSP00000001331	ENSMUSG00000001285
ENSMUSP00000001335	ENSMUSG00000001289
ENSMUSP00000001339	ENSMUSG00000001305
ENSMUSP00000001347	ENSMUSG00000001313
ENSMUSP00000001365	ENSMUSG00000028811
ENSMUSP00000001384	ENSMUSG00000001349
ENSMUSP00000001402	ENSMUSG00000001366
ENSMUSP00000001412	ENSMUSG00000001376
ENSMUSP00000001415	ENSMUSG00000001379
ENSMUSP00000001416	ENSMUSG00000001380
ENSMUSP00000001419	ENSMUSG00000001383
ENSMUSP00000001439	ENSMUSG00000001403
ENSMUSP00000001451	ENSMUSG00000001415
ENSMUSP00000001452	ENSMUSG00000001416
ENSMUSP00000001454	ENSMUSG00000001418
ENSMUSP00000001455	ENSMUSG00000001419
ENSMUSP00000001456	ENSMUSG00000001420
ENSMUSP00000001460	ENSMUSG00000001424
ENSMUSP00000001479	ENSMUSG00000001440
ENSMUSP00000001480	ENSMUSG00000001441
ENSMUSP00000001484	ENSMUSG00000001444
ENSMUSP00000001485	ENSMUSG00000001445
ENSMUSP00000001497	ENSMUSG00000022219
ENSMUSP00000001507	ENSMUSG00000001467
ENSMUSP00000001513	ENSMUSG00000001473
ENSMUSP00000001520	ENSMUSG00000031967
ENSMUSP00000001522	ENSMUSG00000001482
ENSMUSP00000001534	ENSMUSG00000001494
ENSMUSP00000001536	ENSMUSG00000001496
ENSMUSP00000001538	ENSMUSG00000001497
ENSMUSP00000001544	ENSMUSG00000023186
ENSMUSP00000001547	ENSMUSG00000001506
ENSMUSP00000001548	ENSMUSG00000001507
ENSMUSP00000001559	ENSMUSG00000001518
ENSMUSP00000001561	ENSMUSG00000001520
ENSMUSP00000001562	ENSMUSG00000001521
ENSMUSP00000001565	ENSMUSG00000001524
ENSMUSP00000001566	ENSMUSG00000001525
ENSMUSP00000001569	ENSMUSG00000059714
ENSMUSP00000001583	ENSMUSG00000001542
ENSMUSP00000001592	ENSMUSG00000001552
ENSMUSP00000001595	ENSMUSG00000001555
ENSMUSP00000001599	ENSMUSG00000001558
ENSMUSP00000001608	ENSMUSG00000001566
ENSMUSP00000001611	ENSMUSG00000001569
ENSMUSP00000001620	ENSMUSG00000027680
ENSMUSP00000001626	ENSMUSG00000001583
ENSMUSP00000001631	ENSMUSG00000001588
ENSMUSP00000001652	ENSMUSG00000021070
ENSMUSP00000001667	ENSMUSG00000001622
ENSMUSP00000001672	ENSMUSG00000001627
ENSMUSP00000001675	ENSMUSG00000001630
ENSMUSP00000001677	ENSMUSG00000001632
ENSMUSP00000001699	ENSMUSG00000022484
ENSMUSP00000001700	ENSMUSG00000001655
ENSMUSP00000001701	ENSMUSG00000001656
ENSMUSP00000001703	ENSMUSG00000001657
ENSMUSP00000001706	ENSMUSG00000036139
ENSMUSP00000001709	ENSMUSG00000022485
ENSMUSP00000001711	ENSMUSG00000001661
ENSMUSP00000001712	ENSMUSG00000020196
ENSMUSP00000001713	ENSMUSG00000001663
ENSMUSP00000001715	ENSMUSG00000001665
ENSMUSP00000001716	ENSMUSG00000001666
ENSMUSP00000001720	ENSMUSG00000001670
ENSMUSP00000001722	ENSMUSG00000001672
ENSMUSP00000001724	ENSMUSG00000001674
ENSMUSP00000001757	ENSMUSG00000001707
ENSMUSP00000001780	ENSMUSG00000001729
ENSMUSP00000001790	ENSMUSG00000001739
ENSMUSP00000001792	ENSMUSG00000001741
ENSMUSP00000001801	ENSMUSG00000001750
ENSMUSP00000001802	ENSMUSG00000001751
ENSMUSP00000001806	ENSMUSG00000001755
ENSMUSP00000001809	ENSMUSG00000022283
ENSMUSP00000001812	ENSMUSG00000001761
ENSMUSP00000001818	ENSMUSG00000001767
ENSMUSP00000001824	ENSMUSG00000001773
ENSMUSP00000001825	ENSMUSG00000001774
ENSMUSP00000001826	ENSMUSG00000043943
ENSMUSP00000001834	ENSMUSG00000001783
ENSMUSP00000001836	ENSMUSG00000001785
ENSMUSP00000001837	ENSMUSG00000001786
ENSMUSP00000001845	ENSMUSG00000001794
ENSMUSP00000001853	ENSMUSG00000001802
ENSMUSP00000001854	ENSMUSG00000030495
ENSMUSP00000001867	ENSMUSG00000001815
ENSMUSP00000001872	ENSMUSG00000001819
ENSMUSP00000001878	ENSMUSG00000001823
ENSMUSP00000001882	ENSMUSG00000001827
ENSMUSP00000001884	ENSMUSG00000001829
ENSMUSP00000001900	ENSMUSG00000001844
ENSMUSP00000001920	ENSMUSG00000001864
ENSMUSP00000001921	ENSMUSG00000001865
ENSMUSP00000001927	ENSMUSG00000001870
ENSMUSP00000001950	ENSMUSG00000025139
ENSMUSP00000001963	ENSMUSG00000020681
ENSMUSP00000001964	ENSMUSG00000020681
ENSMUSP00000001965	ENSMUSG00000001901
ENSMUSP00000001974	ENSMUSG00000001909
ENSMUSP00000001975	ENSMUSG00000001910
ENSMUSP00000001984	ENSMUSG00000007209
ENSMUSP00000001989	ENSMUSG00000001924
