intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 76288.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 1.17 sec. (404.49 ticks)
Lazy DEBUG Label, root: ENSMUSP00000099793   y value: 1
Lazy DEBUG Label, root: ENSP00000329040   y value: 1

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0     1326.5569    13                   1340.5844      452         
*     0+    0                         1257.6769     1326.5569      452    5.48%
Lazy DEBUG Label, root: ENSP00000329040   y value: 1
      0     0     1324.6408    68     1294.9371 UserPurge1: 210     1589    2.29%
      0     0     1324.6392    64     1294.9371 UserPurge1: 209     1606    2.29%
      0     0     1324.6359    65     1294.9371 UserPurge1: 208     1627    2.29%
      0     0     1324.6313    71     1294.9371 UserPurge1: 208     1644    2.29%
      0     0     1324.6297    75     1294.9371 UserPurge1: 213     1657    2.29%
      0     0     1324.6262    66     1294.9371 UserPurge1: 215     1674    2.29%
      0     0     1324.6237    70     1294.9371 UserPurge1: 211     1697    2.29%
      0     0     1324.6224    59     1294.9371 UserPurge1: 213     1717    2.29%
      0     0     1324.6217    66     1294.9371 UserPurge1: 204     1729    2.29%
      0     0     1324.6213    71     1294.9371 UserPurge1: 212     1740    2.29%
      0     0     1324.6209    81     1294.9371 UserPurge1: 213     1764    2.29%
      0     0     1324.6185    65     1294.9371 UserPurge1: 221     1810    2.29%
      0     0     1324.6162    22     1294.9371 UserPurge1: 210     1826    2.29%
      0     0     1324.6150    70     1294.9371 UserPurge1: 176     1846    2.29%
      0     0     1324.6113    69     1294.9371 UserPurge1: 211     1884    2.29%
      0     0     1324.6089    73     1294.9371 UserPurge1: 213     1899    2.29%
      0     0     1324.6071    66     1294.9371 UserPurge1: 213     1916    2.29%
      0     0     1324.6048    76     1294.9371 UserPurge1: 211     1929    2.29%
      0     0     1324.6019    70     1294.9371 UserPurge1: 215     1948    2.29%
      0     0     1324.6001    74     1294.9371 UserPurge1: 211     1974    2.29%
      0     0     1324.5972    76     1294.9371 UserPurge1: 216     1994    2.29%
      0     0     1324.5914    77     1294.9371 UserPurge1: 216     2013    2.29%
      0     0     1324.5842    64     1294.9371 UserPurge1: 217     2042    2.29%
      0     0     1324.5806    66     1294.9371 UserPurge1: 209     2055    2.29%
