Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 27519.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 0.42 sec. (124.45 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      313.1622   103      309.6567 UserPurge1: 149     1612    1.13%
      0     0      313.1554    93      309.6567 UserPurge1: 146     1651    1.13%
      0     0      313.1510    87      309.6567 UserPurge1: 145     1664    1.13%
      0     0      313.1417    97      309.6567 UserPurge1: 145     1694    1.13%
      0     0      313.1310    98      309.6567 UserPurge1: 148     1734    1.12%
      0     0      313.1239    62      309.6567 UserPurge1: 145     1755    1.12%
      0     0      313.1137    51      309.6567 UserPurge1: 163     1784    1.12%
      0     0      313.1102    47      309.6567 UserPurge1: 103     1794    1.12%
      0     0      313.1067    49      309.6567 UserPurge1: 100     1801    1.11%
      0     0      313.1030    52      309.6567 UserPurge1: 101     1824    1.11%
      0     0      313.0969    49      309.6567 UserPurge1: 104     1856    1.11%
      0     0      313.0917    56      309.6567 UserPurge1: 102     1871    1.11%
      0     0      313.0880    46      309.6567 UserPurge1: 108     1893    1.11%
      0     0      313.0857    51      309.6567 UserPurge1: 99     1908    1.11%
      0     0      313.0814    48      309.6567 UserPurge1: 103     1932    1.11%
      0     0      313.0769    55      309.6567 UserPurge1: 100     1953    1.10%
      0     0      313.0732    53      309.6567 UserPurge1: 107     1978    1.10%
      0     0      313.0690    55      309.6567 UserPurge1: 105     2003    1.10%
      0     0      313.0661    57      309.6567 UserPurge1: 107     2036    1.10%
      0     0      313.0641    62      309.6567 UserPurge1: 109     2057    1.10%
      0     0      313.0561    50      309.6567 UserPurge1: 114     2102    1.10%
      0     0      313.0416    55      309.6567 UserPurge1: 102     2155    1.09%
      0     0      313.0366    55      309.6567 UserPurge1: 107     2169    1.09%
      0     0      313.0301    55      309.6567 UserPurge1: 107     2198    1.09%
      0     0      313.0211    52      309.6567 UserPurge1: 107     2237    1.09%
      0     0      313.0119    50      309.6567 UserPurge1: 104     2261    1.08%
      0     0      313.0075    53      309.6567 UserPurge1: 102     2277    1.08%
      0     0      313.0044    54      309.6567 UserPurge1: 105     2310    1.08%
      0     0      313.0019    56      309.6567 UserPurge1: 107     2330    1.08%
      0     0      312.9955    55      309.6567 UserPurge1: 108     2354    1.08%
      0     0      312.9811    53      309.6567 UserPurge1: 107     2383    1.07%
      0     0      312.9754    51      309.6567 UserPurge1: 106     2409    1.07%
      0     0      312.9678    50      309.6567 UserPurge1: 103     2432    1.07%
      0     0      312.9651    55      309.6567 UserPurge1: 102     2456    1.07%
      0     0      312.9582    53      309.6567 UserPurge1: 107     2479    1.07%
      0     0      312.9545    52      309.6567 UserPurge1: 105     2507    1.06%
      0     0      312.9536    52      309.6567 UserPurge1: 104     2523    1.06%
      0     0      312.9525    52      309.6567 UserPurge1: 104     2544    1.06%
      0     0      312.9518    53      309.6567 UserPurge1: 104     2556    1.06%
      0     0      312.9512    58      309.6567 UserPurge1: 105     2576    1.06%
      0     0      312.9496    57      309.6567 UserPurge1: 110     2602    1.06%
      0     0      312.9468    57      309.6567 UserPurge1: 109     2630    1.06%
      0     0      312.9423    51      309.6567 UserPurge1: 109     2655    1.06%
      0     0      312.9389    54      309.6567 UserPurge1: 106     2680    1.06%
      0     0      312.9332    51      309.6567 UserPurge1: 106     2702    1.06%
      0     0      312.9307    55      309.6567 UserPurge1: 103     2727    1.06%
      0     0      312.9282    51      309.6567 UserPurge1: 107     2748    1.06%
      0     0      312.9280    59      309.6567 UserPurge1: 103     2763    1.06%
      0     0      312.9274    59      309.6567 UserPurge1: 111     2781    1.06%
      0     0      312.9272    59      309.6567 UserPurge1: 111     2799    1.06%
      0     0      312.9202    54      309.6567 UserPurge1: 111     2841    1.05%
      0     0      312.9073    50      309.6567 UserPurge1: 106     2874    1.05%
      0     0      312.8992    54      309.6567 UserPurge1: 103     2896    1.05%
      0     0      312.8951    52      309.6567 UserPurge1: 106     2914    1.05%
      0     0      312.8901    55      309.6567 UserPurge1: 104     2941    1.04%
      0     0      312.8883    58      309.6567 UserPurge1: 107     2954    1.04%
      0     0      312.8858    54      309.6567 UserPurge1: 110     2982    1.04%
      0     0      312.8810    57      309.6567 UserPurge1: 106     3029    1.04%
      0     0      312.8774    58      309.6567 UserPurge1: 110     3051    1.04%
      0     0      312.8751    56      309.6567 UserPurge1: 110     3075    1.04%
      0     0      312.8731    58      309.6567 UserPurge1: 108     3112    1.04%
      0     0      312.8710    57      309.6567 UserPurge1: 111     3136    1.04%
      0     0      312.8675    58      309.6567 UserPurge1: 109     3180    1.04%
      0     0      312.8640    58      309.6567 UserPurge1: 111     3210    1.04%
      0     0      312.8626    62      309.6567 UserPurge1: 110     3239    1.04%
      0     0      312.8585    58      309.6567 UserPurge1: 114     3286    1.03%
      0     0      312.8500    58      309.6567 UserPurge1: 110     3311    1.03%
      0     0      312.8411    56      309.6567 UserPurge1: 110     3356    1.03%
      0     0      312.8393    60      309.6567 UserPurge1: 108     3387    1.03%
      0     0      312.8383    61      309.6567 UserPurge1: 112     3416    1.03%
      0     0      312.8366    63      309.6567 UserPurge1: 113     3446    1.03%
      0     0      312.8344    56      309.6567 UserPurge1: 115     3485    1.03%
      0     0      312.8301    61      309.6567 UserPurge1: 108     3518    1.02%
      0     0      312.8291    63      309.6567 UserPurge1: 113     3533    1.02%
      0     0      312.8265    53      309.6567 UserPurge1: 115     3550    1.02%
      0     0      312.8251    65      309.6567 UserPurge1: 106     3576    1.02%
      0     0      312.8240    58      309.6567 UserPurge1: 117     3609    1.02%
      0     0      312.8225    64      309.6567 UserPurge1: 111     3655    1.02%
      0     0      312.8213    62      309.6567 UserPurge1: 116     3697    1.02%
      0     0      312.8193    61      309.6567 UserPurge1: 114     3753    1.02%
      0     0      312.8181    62      309.6567 UserPurge1: 113     3786    1.02%
      0     0      312.8172    64      309.6567 UserPurge1: 114     3816    1.02%
      0     0      312.8166    62      309.6567 UserPurge1: 116     3853    1.02%
      0     0      312.8127    63      309.6567 UserPurge1: 114     3907    1.02%
      0     0      312.8092    69      309.6567 UserPurge1: 116     3951    1.02%
      0     0      312.8059    64      309.6567 UserPurge1: 120     3977    1.02%
      0     0      312.7953    64      309.6567 UserPurge1: 116     4033    1.01%
      0     0      312.7904    70      309.6567 UserPurge1: 116     4079    1.01%
      0     0      312.7854    58      309.6567 UserPurge1: 119     4101    1.01%
      0     0      312.7831    63      309.6567 UserPurge1: 110     4119    1.01%
      0     0      312.7810    60      309.6567 UserPurge1: 115     4169    1.01%
      0     0      312.7792    61      309.6567 UserPurge1: 112     4191    1.01%
      0     0      312.7779    67      309.6567 UserPurge1: 113     4215    1.01%
      0     0      312.7765    65      309.6567 UserPurge1: 119     4258    1.01%
      0     0      312.7694    65      309.6567 UserPurge1: 117     4318    1.01%
      0     0      312.7627    63      309.6567 UserPurge1: 114     4351    1.00%
      0     0      312.7594    65      309.6567 UserPurge1: 115     4382    1.00%
      0     0      312.7524    64      309.6567 UserPurge1: 117     4424    1.00%
      0     0      312.7444    61      309.6567 UserPurge1: 116     4460    1.00%
      0     0      312.7365    61      309.6567 UserPurge1: 113     4505    0.99%
      0     0      312.7303    65      309.6567 UserPurge1: 113     4534    0.99%
      0     0      312.7263    65      309.6567 UserPurge1: 117     4566    0.99%
      0     0      312.7242    62      309.6567 UserPurge1: 117     4591    0.99%
      0     0      312.7221    65      309.6567 UserPurge1: 115     4620    0.99%
      0     0      312.7197    68      309.6567 UserPurge1: 117     4639    0.99%
      0     0      312.7157    67      309.6567 UserPurge1: 120     4690    0.99%
      0     0      312.7096    70      309.6567 UserPurge1: 120     4730    0.99%
      0     0      312.7015    65      309.6567 UserPurge1: 119     4790    0.98%
      0     0      312.6930    68      309.6567 UserPurge1: 114     4832    0.98%
      0     0      312.6885    65      309.6567 UserPurge1: 117     4881    0.98%
      0     0      312.6863    68      309.6567 UserPurge1: 114     4913    0.98%
      0     0      312.6838    72      309.6567 UserPurge1: 117     4954    0.98%
      0     0      312.6833    76      309.6567 UserPurge1: 121     4973    0.98%
      0     0      312.6815    70      309.6567 UserPurge1: 125     5007    0.98%
      0     0      312.6780    71      309.6567 UserPurge1: 122     5048    0.98%
      0     0      312.6751    72      309.6567 UserPurge1: 120     5082    0.97%
      0     0      312.6685    69      309.6567 UserPurge1: 121     5134    0.97%
      0     0      312.6654    64      309.6567 UserPurge1: 118     5168    0.97%
      0     0      312.6620    64      309.6567 UserPurge1: 116     5208    0.97%
      0     0      312.6594    61      309.6567 UserPurge1: 117     5245    0.97%
      0     0      312.6575    66      309.6567 UserPurge1: 113     5286    0.97%
      0     0      312.6546    70      309.6567 UserPurge1: 118     5328    0.97%
      0     0      312.6511    62      309.6567 UserPurge1: 119     5361    0.97%
      0     0      312.6474    66      309.6567 UserPurge1: 114     5387    0.97%
      0     0      312.6444    74      309.6567 UserPurge1: 118     5423    0.96%
      0     0      312.6393    69      309.6567 UserPurge1: 123     5471    0.96%
      0     0      312.6377    64      309.6567 UserPurge1: 121     5509    0.96%
      0     0      312.6340    67      309.6567 UserPurge1: 116     5553    0.96%
      0     0      312.6267    65      309.6567 UserPurge1: 119     5603    0.96%
      0     0      312.6233    64      309.6567 UserPurge1: 117     5626    0.96%
      0     0      312.6176    66      309.6567 UserPurge1: 116     5658    0.96%
      0     0      312.6159    67      309.6567 UserPurge1: 118     5692    0.96%
      0     0      312.6146    68      309.6567 UserPurge1: 119     5735    0.96%
      0     0      312.6116    63      309.6567 UserPurge1: 120     5808    0.95%
      0     0      312.6111    69      309.6567 UserPurge1: 117     5838    0.95%
      0     0      312.6106    69      309.6567 UserPurge1: 121     5870    0.95%
      0     0      312.6100    65      309.6567 UserPurge1: 121     5908    0.95%
      0     0      312.6078    77      309.6567 UserPurge1: 117     5949    0.95%
      0     0      312.6056    72      309.6567 UserPurge1: 126     6014    0.95%
      0     0      312.6004    65      309.6567 UserPurge1: 121     6059    0.95%
      0     0      312.5952    68      309.6567 UserPurge1: 117     6096    0.95%
      0     0      312.5918    69      309.6567 UserPurge1: 120     6157    0.95%
      0     0      312.5896    76      309.6567 UserPurge1: 121     6206    0.95%
      0     0      312.5867    75      309.6567 UserPurge1: 125     6251    0.95%
      0     0      312.5827    67      309.6567 UserPurge1: 124     6296    0.94%
      0     0      312.5799    67      309.6567 UserPurge1: 119     6319    0.94%
      0     0      312.5773    72      309.6567 UserPurge1: 119     6360    0.94%
      0     0      312.5755    72      309.6567 UserPurge1: 124     6400    0.94%
      0     0      312.5749    77      309.6567 UserPurge1: 124     6422    0.94%
      0     0      312.5724    73      309.6567 UserPurge1: 126     6490    0.94%
      0     0      312.5705    75      309.6567 UserPurge1: 125     6546    0.94%
      0     0      312.5667    81      309.6567 UserPurge1: 127     6606    0.94%
      0     0      312.5592    74      309.6567 UserPurge1: 130     6656    0.94%
      0     0      312.5507    68      309.6567 UserPurge1: 126     6726    0.93%
      0     0      312.5464    69      309.6567 UserPurge1: 120     6776    0.93%
      0     0      312.5438    65      309.6567 UserPurge1: 121     6814    0.93%
      0     0      312.5418    73      309.6567 UserPurge1: 117     6863    0.93%
      0     0      312.5365    68      309.6567 UserPurge1: 125     6931    0.93%
      0     0      312.5341    72      309.6567 UserPurge1: 120     6979    0.93%
      0     0      312.5296    72      309.6567 UserPurge1: 124     7041    0.93%
      0     0      312.5229    68      309.6567 UserPurge1: 124     7084    0.93%
      0     0      312.5192    69      309.6567 UserPurge1: 120     7119    0.92%
      0     0      312.5155    69      309.6567 UserPurge1: 121     7163    0.92%
      0     0      312.5138    68      309.6567 UserPurge1: 121     7206    0.92%
      0     0      312.5126    66      309.6567 UserPurge1: 120     7253    0.92%
      0     0      312.5121    67      309.6567 UserPurge1: 121     7279    0.92%
      0     0      312.5109    70      309.6567 UserPurge1: 119     7313    0.92%
      0     0      312.5102    70      309.6567 UserPurge1: 122     7358    0.92%
      0     0      312.5094    73      309.6567 UserPurge1: 122     7415    0.92%
      0     0      312.5083    71      309.6567 UserPurge1: 125     7472    0.92%
      0     0      312.5064    71      309.6567 UserPurge1: 123     7526    0.92%
      0     0      312.5043    73      309.6567 UserPurge1: 123     7579    0.92%
      0     0      312.5013    75      309.6567 UserPurge1: 125     7639    0.92%
      0     0      312.5001    72      309.6567 UserPurge1: 127     7680    0.92%
      0     0      312.4972    72      309.6567 UserPurge1: 124     7736    0.92%
      0     0      312.4957    73      309.6567 UserPurge1: 124     7763    0.92%
      0     0      312.4939    72      309.6567 UserPurge1: 125     7810    0.92%
      0     0      312.4920    77      309.6567 UserPurge1: 124     7845    0.92%
      0     0      312.4902    84      309.6567 UserPurge1: 129     7911    0.92%
      0     0      312.4859    70      309.6567 UserPurge1: 133     7994    0.91%
      0     0      312.4824    69      309.6567 UserPurge1: 122     8044    0.91%
      0     0      312.4805    71      309.6567 UserPurge1: 120     8081    0.91%
      0     0      312.4769    68      309.6567 UserPurge1: 123     8123    0.91%
      0     0      312.4757    74      309.6567 UserPurge1: 120     8180    0.91%
      0     0      312.4740    68      309.6567 UserPurge1: 125     8249    0.91%
      0     0      312.4725    73      309.6567 UserPurge1: 120     8300    0.91%
      0     0      312.4714    72      309.6567 UserPurge1: 125     8361    0.91%
      0     0      312.4707    75      309.6567 UserPurge1: 124     8406    0.91%
      0     0      312.4701    75      309.6567 UserPurge1: 126     8442    0.91%
      0     0      312.4687    77      309.6567 UserPurge1: 127     8513    0.91%
      0     0      312.4675    80      309.6567 UserPurge1: 128     8587    0.91%
      0     0      312.4661    79      309.6567 UserPurge1: 129     8648    0.91%
      0     0      312.4629    74      309.6567 UserPurge1: 128     8716    0.91%
      0     0      312.4612    72      309.6567 UserPurge1: 126     8756    0.91%
      0     0      312.4584    73      309.6567 UserPurge1: 124     8818    0.90%
      0     0      312.4547    75      309.6567 UserPurge1: 125     8872    0.90%
      0     0      312.4530    71      309.6567 UserPurge1: 127     8936    0.90%
      0     0      312.4519    71      309.6567 UserPurge1: 123     8971    0.90%
      0     0      312.4512    73      309.6567 UserPurge1: 123     9005    0.90%
      0     0      312.4496    71      309.6567 UserPurge1: 125     9055    0.90%
      0     0      312.4473    73      309.6567 UserPurge1: 123     9102    0.90%
      0     0      312.4451    70      309.6567 UserPurge1: 125     9159    0.90%
      0     0      312.4417    78      309.6567 UserPurge1: 124     9216    0.90%
      0     0      312.4385    70      309.6567 UserPurge1: 127     9261    0.90%
      0     0      312.4349    72      309.6567 UserPurge1: 122     9317    0.90%
      0     0      312.4315    72      309.6567 UserPurge1: 124     9366    0.90%
      0     0      312.4304    79      309.6567 UserPurge1: 124     9398    0.90%
      0     0      312.4293    75      309.6567 UserPurge1: 128     9428    0.90%
      0     0      312.4285    73      309.6567 UserPurge1: 127     9488    0.90%
      0     0      312.4273    74      309.6567 UserPurge1: 125     9542    0.89%
      0     0      312.4262    78      309.6567 UserPurge1: 126     9601    0.89%
      0     0      312.4255    69      309.6567 UserPurge1: 130     9655    0.89%
      0     0      312.4234    74      309.6567 UserPurge1: 121     9730    0.89%
      0     0      312.4220    76      309.6567 UserPurge1: 129     9784    0.89%
      0     0      312.4202    80      309.6567 UserPurge1: 128     9827    0.89%
      0     0      312.4179    76      309.6567 UserPurge1: 132     9906    0.89%
