Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 63038.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.53 sec. (3011.74 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      304.1639   171      288.6830 UserPurge1: 147    17075    5.36%
      0     0      304.1584   132      288.6830 UserPurge1: 155    17115    5.36%
      0     0      304.1536   151      288.6830 UserPurge1: 152    17141    5.36%
      0     0      304.1427   158      288.6830 UserPurge1: 155    17185    5.36%
      0     0      304.1390   155      288.6830 UserPurge1: 152    17213    5.35%
      0     0      304.1295   172      288.6830 UserPurge1: 153    17259    5.35%
      0     0      304.1238   122      288.6830 UserPurge1: 158    17298    5.35%
      0     0      304.1164   162      288.6830 UserPurge1: 148    17331    5.35%
      0     0      304.1072   152      288.6830 UserPurge1: 154    17363    5.34%
      0     0      304.0996    77      288.6830 UserPurge1: 148    17384    5.34%
      0     0      304.0887   129      288.6830 UserPurge1: 107    17426    5.34%
      0     0      304.0824   149      288.6830 UserPurge1: 145    17452    5.33%
      0     0      304.0782   173      288.6830 UserPurge1: 149    17487    5.33%
      0     0      304.0756    66      288.6830 UserPurge1: 151    17524    5.33%
      0     0      304.0747   161      288.6830 UserPurge1: 102    17550    5.33%
      0     0      304.0726    85      288.6830 UserPurge1: 155    17579    5.33%
      0     0      304.0708    84      288.6830 UserPurge1: 106    17617    5.33%
      0     0      304.0690   187      288.6830 UserPurge1: 112    17664    5.33%
      0     0      304.0665   184      288.6830 UserPurge1: 160    17699    5.33%
      0     0      304.0589    72      288.6830 UserPurge1: 160    17750    5.33%
      0     0      304.0533    93      288.6830 UserPurge1: 108    17788    5.32%
      0     0      304.0475    70      288.6830 UserPurge1: 112    17847    5.32%
      0     0      304.0402   171      288.6830 UserPurge1: 108    17888    5.32%
      0     0      304.0317    90      288.6830 UserPurge1: 155    17931    5.32%
      0     0      304.0250    92      288.6830 UserPurge1: 110    17977    5.31%
      0     0      304.0200    98      288.6830 UserPurge1: 105    18017    5.31%
      0     0      304.0142   139      288.6830 UserPurge1: 107    18049    5.31%
      0     0      304.0060   165      288.6830 UserPurge1: 152    18080    5.31%
      0     0      304.0010   149      288.6830 UserPurge1: 155    18110    5.31%
      0     0      303.9963   179      288.6830 UserPurge1: 156    18153    5.30%
      0     0      303.9885   160      288.6830 UserPurge1: 158    18196    5.30%
      0     0      303.9816   162      288.6830 UserPurge1: 157    18238    5.30%
      0     0      303.9772   168      288.6830 UserPurge1: 156    18274    5.30%
      0     0      303.9720   149      288.6830 UserPurge1: 158    18315    5.30%
      0     0      303.9635   144      288.6830 UserPurge1: 156    18347    5.29%
      0     0      303.9506   157      288.6830 UserPurge1: 158    18387    5.29%
      0     0      303.9424   178      288.6830 UserPurge1: 157    18436    5.29%
      0     0      303.9377   190      288.6830 UserPurge1: 154    18476    5.28%
      0     0      303.9276    69      288.6830 UserPurge1: 163    18521    5.28%
      0     0      303.9235    97      288.6830 UserPurge1: 105    18550    5.28%
      0     0      303.9204    90      288.6830 UserPurge1: 110    18589    5.28%
      0     0      303.9171   156      288.6830 UserPurge1: 111    18620    5.28%
      0     0      303.9140   171      288.6830 UserPurge1: 158    18655    5.28%
      0     0      303.9087   102      288.6830 UserPurge1: 160    18709    5.27%
      0     0      303.9049    99      288.6830 UserPurge1: 111    18744    5.27%
      0     0      303.8977   103      288.6830 UserPurge1: 114    18782    5.27%
      0     0      303.8914   142      288.6830 UserPurge1: 116    18828    5.27%
      0     0      303.8809   152      288.6830 UserPurge1: 157    18873    5.26%
      0     0      303.8775   146      288.6830 UserPurge1: 157    18894    5.26%
      0     0      303.8744   163      288.6830 UserPurge1: 155    18927    5.26%
      0     0      303.8721   175      288.6830 UserPurge1: 159    18965    5.26%
      0     0      303.8717   173      288.6830 UserPurge1: 162    18980    5.26%
      0     0      303.8671    99      288.6830 UserPurge1: 164    19018    5.26%
      0     0      303.8588   174      288.6830 UserPurge1: 112    19062    5.26%
      0     0      303.8510   169      288.6830 UserPurge1: 163    19099    5.25%
      0     0      303.8444   178      288.6830 UserPurge1: 161    19141    5.25%
      0     0      303.8355   168      288.6830 UserPurge1: 161    19199    5.25%
      0     0      303.8264   144      288.6830 UserPurge1: 162    19248    5.25%
      0     0      303.8197   144      288.6830 UserPurge1: 158    19289    5.24%
      0     0      303.8158   102      288.6830 UserPurge1: 160    19324    5.24%
      0     0      303.8103   147      288.6830 UserPurge1: 116    19380    5.24%
      0     0      303.8033   102      288.6830 UserPurge1: 155    19420    5.24%
      0     0      303.7997   100      288.6830 UserPurge1: 115    19455    5.24%
      0     0      303.7975   115      288.6830 UserPurge1: 116    19487    5.24%
      0     0      303.7863   163      288.6830 UserPurge1: 117    19541    5.23%
      0     0      303.7748   172      288.6830 UserPurge1: 161    19596    5.23%
      0     0      303.7713   181      288.6830 UserPurge1: 162    19630    5.23%
      0     0      303.7693   169      288.6830 UserPurge1: 163    19669    5.23%
      0     0      303.7672   177      288.6830 UserPurge1: 162    19716    5.23%
      0     0      303.7655   167      288.6830 UserPurge1: 168    19746    5.22%
      0     0      303.7636   150      288.6830 UserPurge1: 163    19780    5.22%
      0     0      303.7590   169      288.6830 UserPurge1: 164    19823    5.22%
      0     0      303.7469   160      288.6830 UserPurge1: 170    19897    5.22%
      0     0      303.7390   177      288.6830 UserPurge1: 159    19946    5.22%
      0     0      303.7313   166      288.6830 UserPurge1: 166    19995    5.21%
      0     0      303.7183   177      288.6830 UserPurge1: 158    20048    5.21%
      0     0      303.7122   181      288.6830 UserPurge1: 161    20080    5.21%
      0     0      303.7069   138      288.6830 UserPurge1: 159    20121    5.20%
      0     0      303.7033   152      288.6830 UserPurge1: 158    20160    5.20%
      0     0      303.7007   189      288.6830 UserPurge1: 161    20203    5.20%
      0     0      303.6975   178      288.6830 UserPurge1: 164    20261    5.20%
      0     0      303.6945   189      288.6830 UserPurge1: 164    20319    5.20%
      0     0      303.6937   103      288.6830 UserPurge1: 163    20343    5.20%
      0     0      303.6926   112      288.6830 UserPurge1: 114    20393    5.20%
      0     0      303.6914   196      288.6830 UserPurge1: 121    20438    5.20%
      0     0      303.6899   114      288.6830 UserPurge1: 169    20481    5.20%
      0     0      303.6884   113      288.6830 UserPurge1: 120    20526    5.20%
      0     0      303.6857   183      288.6830 UserPurge1: 123    20568    5.20%
      0     0      303.6836   195      288.6830 UserPurge1: 164    20612    5.20%
      0     0      303.6805   197      288.6830 UserPurge1: 167    20675    5.20%
      0     0      303.6757    92      288.6830 UserPurge1: 164    20735    5.19%
      0     0      303.6739   109      288.6830 UserPurge1: 120    20758    5.19%
      0     0      303.6707   107      288.6830 UserPurge1: 122    20808    5.19%
      0     0      303.6657   102      288.6830 UserPurge1: 120    20865    5.19%
      0     0      303.6610   114      288.6830 UserPurge1: 121    20908    5.19%
      0     0      303.6575   150      288.6830 UserPurge1: 123    20949    5.19%
      0     0      303.6547   175      288.6830 UserPurge1: 163    21006    5.19%
      0     0      303.6500   168      288.6830 UserPurge1: 170    21064    5.18%
      0     0      303.6473   153      288.6830 UserPurge1: 165    21104    5.18%
      0     0      303.6463   183      288.6830 UserPurge1: 166    21136    5.18%
      0     0      303.6449   109      288.6830 UserPurge1: 172    21191    5.18%
      0     0      303.6433   156      288.6830 UserPurge1: 123    21286    5.18%
      0     0      303.6424   179      288.6830 UserPurge1: 169    21336    5.18%
      0     0      303.6416   201      288.6830 UserPurge1: 173    21390    5.18%
      0     0      303.6408   144      288.6830 UserPurge1: 174    21434    5.18%
      0     0      303.6376   117      288.6830 UserPurge1: 168    21485    5.18%
      0     0      303.6317   182      288.6830 UserPurge1: 124    21556    5.18%
      0     0      303.6259   174      288.6830 UserPurge1: 171    21596    5.18%
      0     0      303.6218   192      288.6830 UserPurge1: 165    21639    5.17%
      0     0      303.6187   197      288.6830 UserPurge1: 166    21695    5.17%
      0     0      303.6127   190      288.6830 UserPurge1: 173    21763    5.17%
      0     0      303.6040   198      288.6830 UserPurge1: 173    21823    5.17%
      0     0      303.5982   199      288.6830 UserPurge1: 169    21876    5.17%
      0     0      303.5932    30      288.6830 UserPurge1: 169    21883    5.16%
      0     0      303.5878   165      288.6830 UserPurge1: 71    21920    5.16%
      0     0      303.5826   155      288.6830 UserPurge1: 166    21977    5.16%
      0     0      303.5774   171      288.6830 UserPurge1: 168    22022    5.16%
      0     0      303.5748   184      288.6830 UserPurge1: 164    22055    5.16%
      0     0      303.5702   208      288.6830 UserPurge1: 168    22112    5.16%
      0     0      303.5632   170      288.6830 UserPurge1: 168    22179    5.15%
      0     0      303.5594   187      288.6830 UserPurge1: 159    22223    5.15%
      0     0      303.5566   199      288.6830 UserPurge1: 165    22263    5.15%
      0     0      303.5538   104      288.6830 UserPurge1: 171    22321    5.15%
      0     0      303.5515   206      288.6830 UserPurge1: 115    22367    5.15%
      0     0      303.5475   174      288.6830 UserPurge1: 168    22444    5.15%
      0     0      303.5421   176      288.6830 UserPurge1: 167    22493    5.15%
      0     0      303.5378    30      288.6830 UserPurge1: 168    22516    5.15%
      0     0      303.5375   200      288.6830 UserPurge1: 71    22527    5.15%
      0     0      303.5329   189      288.6830 UserPurge1: 169    22603    5.14%
      0     0      303.5283   152      288.6830 UserPurge1: 167    22654    5.14%
      0     0      303.5218   184      288.6830 UserPurge1: 164    22717    5.14%
      0     0      303.5196   209      288.6830 UserPurge1: 165    22767    5.14%
      0     0      303.5156   170      288.6830 UserPurge1: 169    22820    5.14%
      0     0      303.5100   164      288.6830 UserPurge1: 173    22873    5.14%
      0     0      303.5060   126      288.6830 UserPurge1: 173    22929    5.13%
      0     0      303.5029    97      288.6830 UserPurge1: 126    22966    5.13%
      0     0      303.5011   112      288.6830 UserPurge1: 125    23006    5.13%
      0     0      303.4970   160      288.6830 UserPurge1: 124    23058    5.13%
      0     0      303.4929   177      288.6830 UserPurge1: 165    23110    5.13%
      0     0      303.4882   201      288.6830 UserPurge1: 169    23155    5.13%
      0     0      303.4850    30      288.6830 UserPurge1: 172    23176    5.13%
      0     0      303.4825   121      288.6830 UserPurge1: 71    23222    5.13%
      0     0      303.4765   208      288.6830 UserPurge1: 126    23299    5.12%
      0     0      303.4731   118      288.6830 UserPurge1: 170    23348    5.12%
      0     0      303.4693   212      288.6830 UserPurge1: 123    23401    5.12%
      0     0      303.4642   166      288.6830 UserPurge1: 172    23455    5.12%
      0     0      303.4605   116      288.6830 UserPurge1: 170    23493    5.12%
      0     0      303.4579   129      288.6830 UserPurge1: 125    23537    5.12%
      0     0      303.4561   215      288.6830 UserPurge1: 126    23582    5.12%
      0     0      303.4520   128      288.6830 UserPurge1: 183    23630    5.12%
      0     0      303.4450   190      288.6830 UserPurge1: 130    23703    5.11%
      0     0      303.4431   101      288.6830 UserPurge1: 170    23747    5.11%
      0     0      303.4409   195      288.6830 UserPurge1: 121    23799    5.11%
      0     0      303.4393    88      288.6830 UserPurge1: 172    23855    5.11%
      0     0      303.4386   190      288.6830 UserPurge1: 120    23896    5.11%
      0     0      303.4374   203      288.6830 UserPurge1: 174    23952    5.11%
      0     0      303.4367   196      288.6830 UserPurge1: 171    24003    5.11%
      0     0      303.4353    95      288.6830 UserPurge1: 168    24046    5.11%
      0     0      303.4334   122      288.6830 UserPurge1: 125    24112    5.11%
      0     0      303.4311   123      288.6830 UserPurge1: 127    24178    5.11%
      0     0      303.4268   154      288.6830 UserPurge1: 130    24243    5.11%
      0     0      303.4218   191      288.6830 UserPurge1: 176    24314    5.11%
      0     0      303.4191   193      288.6830 UserPurge1: 175    24372    5.10%
      0     0      303.4154   114      288.6830 UserPurge1: 174    24447    5.10%
      0     0      303.4098   133      288.6830 UserPurge1: 127    24516    5.10%
      0     0      303.4024   116      288.6830 UserPurge1: 125    24561    5.10%
      0     0      303.3990   164      288.6830 UserPurge1: 125    24611    5.10%
      0     0      303.3966   109      288.6830 UserPurge1: 167    24658    5.10%
      0     0      303.3948   179      288.6830 UserPurge1: 125    24735    5.10%
      0     0      303.3909   188      288.6830 UserPurge1: 177    24825    5.09%
      0     0      303.3878   132      288.6830 UserPurge1: 175    24863    5.09%
      0     0      303.3838   215      288.6830 UserPurge1: 133    24946    5.09%
      0     0      303.3808   136      288.6830 UserPurge1: 180    25011    5.09%
      0     0      303.3774   200      288.6830 UserPurge1: 129    25076    5.09%
      0     0      303.3734   177      288.6830 UserPurge1: 181    25160    5.09%
      0     0      303.3714   185      288.6830 UserPurge1: 178    25217    5.09%
      0     0      303.3674   126      288.6830 UserPurge1: 176    25308    5.09%
      0     0      303.3634   195      288.6830 UserPurge1: 132    25386    5.09%
      0     0      303.3591   135      288.6830 UserPurge1: 180    25462    5.08%
      0     0      303.3546   116      288.6830 UserPurge1: 130    25530    5.08%
      0     0      303.3524   209      288.6830 UserPurge1: 128    25598    5.08%
      0     0      303.3498   223      288.6830 UserPurge1: 180    25672    5.08%
      0     0      303.3456   193      288.6830 UserPurge1: 180    25739    5.08%
      0     0      303.3416   130      288.6830 UserPurge1: 171    25800    5.08%
      0     0      303.3385   218      288.6830 UserPurge1: 129    25898    5.08%
      0     0      303.3358   151      288.6830 UserPurge1: 181    25949    5.08%
      0     0      303.3336   212      288.6830 UserPurge1: 172    26008    5.07%
      0     0      303.3318   121      288.6830 UserPurge1: 179    26064    5.07%
      0     0      303.3284   130      288.6830 UserPurge1: 130    26116    5.07%
      0     0      303.3260   176      288.6830 UserPurge1: 68    26189    5.07%
      0     0      303.3223   184      288.6830 UserPurge1: 115    26236    5.07%
      0     0      303.3195   198      288.6830 UserPurge1: 113    26292    5.07%
      0     0      303.3166   200      288.6830 UserPurge1: 115    26347    5.07%
      0     0      303.3141   195      288.6830 UserPurge1: 115    26399    5.07%
      0     0      303.3113   216      288.6830 UserPurge1: 115    26442    5.07%
      0     0      303.3089   124      288.6830 UserPurge1: 111    26493    5.07%
      0     0      303.3073   215      288.6830 UserPurge1: 66    26541    5.07%
      0     0      303.3063   222      288.6830 UserPurge1: 112    26596    5.07%
      0     0      303.3057   123      288.6830 UserPurge1: 110    26629    5.07%
      0     0      303.3047   145      288.6830 UserPurge1: 65    26668    5.06%
      0     0      303.3033   133      288.6830 UserPurge1: 70    26729    5.06%
      0     0      303.3015   223      288.6830 UserPurge1: 72    26824    5.06%
      0     0      303.3008    37      288.6830 UserPurge1: 115    26840    5.06%
      0     0      303.2999   221      288.6830 UserPurge1: 68    26902    5.06%
      0     0      303.2976   163      288.6830 UserPurge1: 115    26950    5.06%
      0     0      303.2940   168      288.6830 UserPurge1: 114    27052    5.06%
      0     0      303.2909   220      288.6830 UserPurge1: 177    27129    5.06%
      0     0      303.2872   223      288.6830 UserPurge1: 116    27216    5.06%
      0     0      303.2823   110      288.6830 UserPurge1: 118    27281    5.06%
      0     0      303.2794   125      288.6830 UserPurge1: 70    27365    5.06%
      0     0      303.2736   236      288.6830 UserPurge1: 69    27467    5.05%
      0     0      303.2702   230      288.6830 UserPurge1: 110    27568    5.05%
      0     0      303.2694    33      288.6830 UserPurge1: 114    27578    5.05%
      0     2      303.2694    33      288.6830      302.8674    27578    4.91%                        0             0
Elapsed time = 2007.25 sec. (677891.72 ticks, tree = 0.00 MB, solutions = 2)
      1     3      302.8629   233      288.6830      302.8512    27653    4.91%x_ENSP0000033161 D      1      0      1
      2     4      300.8424   147      288.6830      302.8512    29575    4.91%x_ENSP0000033161 N      2      0      1
      3     5      302.7131    76      288.6830      302.7130    29819    4.86%x_ENSMUSP0000009 D      3      1      2
      4     6      302.7121    75      288.6830      302.7122    29843    4.86%x_ENSP0000025607 U      4      3      3
      5     7      302.1170    74      288.6830      302.7122    31016    4.86%x_ENSP0000022979 N      5      4      4
      6     8      302.7100    58      288.6830      302.7122    31049    4.86%x_ENSP0000022979 U      6      4      4
      7     9      302.6646    47      288.6830      302.7122    31252    4.86%x_ENSP0000023032 U      7      6      5
      8    10      302.6397    54      288.6830      302.7122    31335    4.86%x_ENSP0000029753 D      8      7      6
      9    11      302.1645   176      288.6830      302.7122    33040    4.86%x_ENSP0000026392 N      9      8      7
*    10+   10                          295.6967      302.7122    33149    2.37%
     10    12      301.8766     9      295.6967      302.7122    33149    2.37%x_ENSP0000026392 U     10      8      7
Elapsed time = 2600.07 sec. (1195671.05 ticks, tree = 1.75 MB, solutions = 3)
     11    13      302.1640    63      295.6967      302.7122    33168    2.37%y_ENSMUSP0000002 D     11      9      8
     12    14      302.1629    53      295.6967      302.7122    33223    2.37%x_ENSP0000027307 D     12     11      9
     13    15      302.1620    54      295.6967      302.7122    33271    2.37%x_ENSP0000029092 D     13     12     10
     14    16      302.1404    81      295.6967      302.7122    33528    2.37%x_ENSP0000040198 N     14     13     11
     15    17      302.1404    76      295.6967      302.7122    33534    2.37%x_ENSP0000032489 D     15     14     12
     16    18      302.1400    76      295.6967      302.7122    33556    2.37%x_ENSP0000042027 D     16     15     13
     17    19      302.1045    58      295.6967      302.7122    33649    2.37%x_ENSP0000030544 D     17     16     14
     18    20      302.1242    51      295.6967      302.7122    33666    2.37%x_ENSP0000030544 U     18     16     14
     19    21      302.1209    51      295.6967      302.7122    33682    2.37%x_ENSP0000027254 D     19     18     15
     20    22      302.1108    43      295.6967      302.7122    33752    2.37%x_ENSP0000034957 D     20     19     16
Elapsed time = 2710.59 sec. (1280992.75 ticks, tree = 3.54 MB, solutions = 3)
*    21+   18                          301.5242      302.7122    33843    0.39%
     21    20      302.0769     5      301.5242      302.7122    33843    0.39%x_ENSP0000030331 N     21     20     17
     22    21      302.0468    38      301.5242      302.7122    33846    0.39%mm_ENSMUSP000001 U     22     21     18
     23    22      301.9187     5      301.5242      302.7122    33964    0.39%mm_ENSMUSP000001 D     23     21     18
     24    23      302.0422    42      301.5242      302.7122    33976    0.39%x_ENSP0000033692 D     24     22     19
     25    22        cutoff            301.5242      302.7122    34104    0.39%x_ENSP0000033692 U     25     22     19
     26    23      302.0411     5      301.5242      302.7122    34105    0.39%x_ENSP0000039533 D     26     24     20
     27    24      302.0243     5      301.5242      302.7122    34144    0.39%z_ENSMUSP0000001 U     27     26     21
     28    25      302.0199    40      301.5242      302.7122    34193    0.39%x_ENSP0000035362 D     28     27     22
     30    27      302.0076    40      301.5242      302.7122    34217    0.39%x_ENSP0000033224 D     30     29     24
     31    26        cutoff            301.5242      302.7122    34333    0.39%x_ENSP0000033224 N     31     29     24
Elapsed time = 2808.80 sec. (1332262.65 ticks, tree = 3.66 MB, solutions = 4)
     33    26        cutoff            301.5242      302.7122    34374    0.39%x_ENSP0000034950 U     33     30     25
     34    27      301.9842    32      301.5242      302.7122    34376    0.39%x_ENSP0000030057 D     34     32     26
     35    28      301.6478     5      301.5242      302.7122    34475    0.39%x_ENSP0000030057 U     35     32     26
     37    30      301.9691    29      301.5242      302.7122    34495    0.39%x_ENSP0000037761 D     37     36     28
     38    31      301.9663    29      301.5242      302.7122    34506    0.39%x_ENSP0000030984 D     38     37     29
     39    31      301.9654    29      301.5242      302.7122    34509    0.39%x_ENSP0000035854 D     39     38     30
*    40    21      integral     0      301.9643      302.7122    34513    0.25%x_ENSP0000030256 D     40     39     31
     41    20        cutoff            301.9643      302.7081    34604    0.25%x_ENSP0000025607 D     41      3      3
