Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

     10    12      257.5972    45      224.0301      258.0582    18694   15.19%x_ENSP0000026232 U     10      8      8
Elapsed time = 508.89 sec. (229677.35 ticks, tree = 4.29 MB, solutions = 2)
     11    13      257.9340    89      224.0301      258.0582    18708   15.19%x_ENSP0000030030 D     11      9      9
*    12+   12                          253.8387      258.0582    18719    1.66%
     12    14      257.9279     8      253.8387      258.0582    18719    1.66%x_ENSMUSP0000003 U     12     11     10
     13    15      257.8962     7      253.8387      258.0582    18759    1.66%x_ENSP0000001165 U     13     12     11
     14    16      257.9243    61      253.8387      258.0582    18776    1.66%x_ENSP0000001165 D     14     12     11
     15    17      257.9218    75      253.8387      258.0582    18783    1.66%x_ENSP0000000534 D     15     14     12
     17    19      257.9190    73      253.8387      258.0582    18895    1.66%x_ENSP0000032881 D     17     15     13
     20    22      257.9096    71      253.8387      258.0582    18936    1.66%x_ENSP0000033444 D     20     19     16
     23    25      257.0805    68      253.8387      258.0582    19287    1.66%x_ENSP0000032636 U     23     20     17
     26    28      257.0675    63      253.8387      258.0582    19328    1.66%x_ENSMUSP0000006 U     26     24     19
     27    28      254.2571    78      253.8387      258.0582    19936    1.66%x_ENSP0000023044 N     27     26     20
Elapsed time = 614.72 sec. (279652.72 ticks, tree = 4.75 MB, solutions = 3)
     30    30      254.2458    14      253.8387      258.0582    19956    1.66%x_ENSP0000029612 D     30     29     23
     32    32      254.2384     7      253.8387      258.0582    19967    1.66%x_ENSP0000035125 D     32     31     25
     35    33        cutoff            253.8387      258.0582    20090    1.66%x_ENSP0000030256 N     35     32     26
     38    35      254.1941    17      253.8387      258.0582    20102    1.66%x_ENSP0000034442 D     38     37     29
     40    36      254.1501     9      253.8387      258.0582    20108    1.66%x_ENSP0000034435 D     40     39     31
     45    39      254.0941     6      253.8387      258.0582    20163    1.66%x_ENSP0000026284 D     45     44     35
     49    43      254.0613     8      253.8387      258.0582    20207    1.66%x_ENSP0000026234 D     49     47     38
     50    43      254.0595    26      253.8387      258.0582    20208    1.66%x_ENSP0000030262 D     50     49     39
     53    45      253.9579     6      253.8387      258.0582    20239    1.66%x_ENSP0000026152 D     53     52     42
     54    46      253.9579     8      253.8387      258.0582    20243    1.66%x_ENSP0000034925 D     54     53     43
Elapsed time = 658.68 sec. (299151.73 ticks, tree = 5.21 MB, solutions = 3)
     55    45        cutoff            253.8387      258.0582    20322    1.66%x_ENSP0000035411 N     55     54     44
     57    45      253.3625     6      253.8387      258.0582    20414    1.66%           m_769 D     57     56     45
     59    45      258.0395   136      253.8387      258.0405    20473    1.66%x_ENSP0000017175 D     59      0      1
     62    48      257.9837    67      253.8387      258.0405    20578    1.66%x_ENSP0000035999 D     62     61      4
     63    49      257.9768    77      253.8387      258.0405    20604    1.66%x_ENSP0000036998 D     63     62      5
     65    51      257.9496    56      253.8387      258.0405    20645    1.66%x_ENSP0000034846 D     65     64      7
     67    53      257.3724   113      253.8387      258.0405    21958    1.66%x_ENSP0000030087 N     67     65      8
     68    54      257.7609     7      253.8387      258.0405    22075    1.66%x_ENSP0000030087 U     68     65      8
     70    56      257.7460    24      253.8387      258.0405    22102    1.66%x_ENSMUSP0000003 U     70     69     10
