gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000399	-0.0771586710745105	10.6412846615784	-6.20553555341021	0.360179660185721	0.812558798859224	Ndufa9	-3.05919632491141	mus	-3.59321261591418	FALSE	FALSE	FALSE
ENSMUSG00000000402	-0.197928150299104	3.05098495944584	-5.65037085167302	0.168979182408743	0.665361383301362	Egfl6	-2.51091163034859	mus	-3.28302890119326	FALSE	FALSE	FALSE
ENSMUSG00000000409	-0.109729200630831	12.4031959788417	-5.85649621898008	0.220634263694465	0.716450101131342	Lck	-2.70414519569955	mus	-3.3993638208354	FALSE	FALSE	FALSE
ENSMUSG00000000411	0.0667778697651404	3.61245684104289	-6.58117255502861	0.724446383321444	0.939520361315816	Tssk3	-3.565446432608	mus	-3.88179785243735	FALSE	FALSE	FALSE
ENSMUSG00000000420	0.0498282559130043	8.59865931658348	-6.60426400534349	0.776676327700011	0.951518054587301	Galnt1	-3.61587979981361	mus	-3.91119441355045	FALSE	FALSE	FALSE
ENSMUSG00000000435	0.0101969759709051	2.82917787687563	-6.64310179024336	0.934407458196494	0.985755545524303	Myf5	-3.7498228196686	mus	-3.98427512920175	FALSE	FALSE	FALSE
ENSMUSG00000000439	-0.055856902598368	3.31935632831823	-6.5654726171755	0.694683454486876	0.930909110885234	Raf1	-3.53505462912523	mus	-3.86531947271905	FALSE	FALSE	FALSE
ENSMUSG00000000440	-0.0257399162338343	3.3083930174922	-6.63827483010966	0.899558791746468	0.979809722101406	Pparg	-3.72228773899959	mus	-3.96923668027207	FALSE	FALSE	FALSE
ENSMUSG00000000441	-0.0101074681254207	9.27045218968419	-6.64316191584847	0.93496088345693	0.985755545524303	Raf1	-3.75025176639503	mus	-3.98453690770141	FALSE	FALSE	FALSE
ENSMUSG00000000486	-0.257535793341838	6.27268149914947	-5.1979979969403	0.0971163022594227	0.555775540800178	Sept1	-2.10966243408847	mus	-3.07311372760833	FALSE	FALSE	FALSE
