gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000125999	-0.0238736296666584	6.29674705092593	-6.30806176932865	0.799075020349117	0.988572465192673	C20orf114	-4.29602507098166	hsa	FALSE	FALSE
ENSG00000138073	0.13218515933334	7.54224739177778	-6.03924507533617	0.438938030387904	0.934875411467379	PREB	-3.85073244155662	hsa	FALSE	FALSE
ENSG00000249915	0.106573673333337	10.4305095354444	-6.01208911600227	0.419027194218945	0.92759458399994	PDCD6	-3.81622788496779	hsa	FALSE	FALSE
ENSG00000108960	0.250143853000001	7.99265564383333	-5.73966655330609	0.27437483762401	0.855115648109743	MMD	-3.50149568084137	hsa	FALSE	FALSE
ENSG00000105701	-0.0279613863333301	6.37507557611111	-6.29904682843146	0.773663451878074	0.984551281003696	FKBP8	-4.27200405280585	hsa	FALSE	FALSE
ENSG00000196305	-0.00283186666666602	10.3171016706111	-6.34054937480864	0.987614521048297	0.998278627367571	IARS	-4.45347836820144	hsa	FALSE	FALSE
ENSG00000184160	0.0600219953333339	6.3911784222963	-5.98126517095345	0.398012848942653	0.920969909020683	ADRA2C	-3.77798532398713	hsa	FALSE	FALSE
ENSG00000125484	-0.193940718333327	6.25377541788889	-4.46191491929141	0.0531591190209474	0.539673010170397	GTF3C4	-2.28163107803298	hsa	FALSE	FALSE
ENSG00000107262	-0.051980600333331	6.42300573968518	-6.21476445575306	0.61694059542613	0.963020259396557	BAG1	-4.10375352138073	hsa	FALSE	FALSE
ENSG00000182230	-0.151174666999999	6.23168320581482	-5.05390530482117	0.109635200307001	0.673728338896547	FAM153A	-2.81966360898582	hsa	FALSE	FALSE
ENSG00000142082	-0.15526334733333	5.9383858597963	-5.18741891633093	0.129904943009876	0.71228313760775	SIRT3	-2.9457558591576	hsa	FALSE	FALSE
ENSG00000138629	0.25685228133334	7.45584158462963	-5.28409444310876	0.14718422516566	0.733444485007069	UBL7	-3.03857738619174	hsa	FALSE	FALSE
ENSG00000165813	0.0020191890000012	6.05036586275926	-6.3405587097634	0.988100670702711	0.998280082264072	C10orf118	-4.45384415186402	hsa	FALSE	FALSE
ENSG00000139182	-0.0787275419999975	6.39556277933333	-5.99183466811645	0.405041292138077	0.922479645289557	CLSTN3	-3.79099612563099	hsa	FALSE	FALSE
ENSG00000198924	0.0827480936666687	6.95325012361111	-6.12046474774289	0.508278072109214	0.948187999794306	DCLRE1A	-3.95974869616461	hsa	FALSE	FALSE
ENSG00000187942	0.10135087766667	6.36928212088889	-5.6370541944612	0.236916388996095	0.827155282812375	LDLRAD2	-3.39239212089082	hsa	FALSE	FALSE
ENSG00000157014	0.00530001100000543	7.94893289905556	-6.34026665102116	0.977396994703192	0.998072736333319	TATDN2	-4.44574865761114	hsa	FALSE	FALSE
ENSG00000203879	0.252271958666672	7.66605079285185	-5.08702058698458	0.114314920421147	0.680773690608485	GDI1	-2.8507314057829	hsa	FALSE	FALSE
ENSG00000135346	-0.111485844666666	6.0932197387963	-5.93112157241725	0.366935377439205	0.907665177381878	CGA	-3.71755827298166	hsa	FALSE	FALSE
ENSG00000151176	0.0769953540000037	6.66700515090741	-6.2397841836945	0.654342055601141	0.969751083556781	PLBD2	-4.14750073925745	hsa	FALSE	FALSE
ENSG00000196507	0.273253932666675	7.86679967840741	-5.12046164856326	0.119264948966908	0.691333049527073	TCEAL3	-2.88223905286275	hsa	FALSE	FALSE
